Date,AMD,BAC,BAESY,DRS,INTC,JPM,RTX,TSM,WFC
2019-01-02,18.829999923706055,24.959999084472656,23.649999618530273,2.619999885559082,47.08000183105469,99.30999755859375,68.15607452392578,36.52000045776367,46.939998626708984
2019-01-03,17.049999237060547,24.559999465942383,23.739999771118164,2.5799999237060547,44.4900016784668,97.11000061035156,65.12271881103516,34.36000061035156,46.56999969482422
2019-01-04,19.0,25.579999923706055,24.31999969482422,2.630000114440918,47.220001220703125,100.69000244140625,67.35053253173828,34.970001220703125,47.95000076293945
2019-01-07,20.56999969482422,25.559999465942383,24.149999618530273,2.630000114440918,47.439998626708984,100.76000213623047,67.3190689086914,35.22999954223633,47.63999938964844
2019-01-08,20.75,25.510000228881836,24.56999969482422,2.609999895095825,47.7400016784668,100.56999969482422,68.5336685180664,34.939998626708984,47.540000915527344
2019-01-09,20.190000534057617,25.760000228881836,25.100000381469727,2.5899999141693115,48.0099983215332,100.4000015258789,68.79798889160156,35.61000061035156,47.79999923706055
2019-01-10,19.739999771118164,25.729999542236328,25.469999313354492,2.630000114440918,48.560001373291016,100.38999938964844,69.48395538330078,36.41999816894531,47.75
2019-01-11,20.270000457763672,26.030000686645508,25.84000015258789,2.5799999237060547,48.93000030517578,99.91000366210938,69.19446563720703,36.61000061035156,47.869998931884766
2019-01-14,20.229999542236328,26.3700008392334,26.209999084472656,2.5799999237060547,48.349998474121094,100.94000244140625,69.76085662841797,35.7599983215332,48.41999816894531
2019-01-15,20.3799991607666,26.549999237060547,26.459999084472656,2.630000114440918,48.599998474121094,101.68000030517578,69.89301300048828,36.040000915527344,47.66999816894531
2019-01-16,19.729999542236328,28.450000762939453,26.389999389648438,2.6700000762939453,48.130001068115234,102.5,69.77344512939453,35.63999938964844,48.939998626708984
2019-01-17,20.25,28.989999771118164,26.260000228881836,2.6500000953674316,48.470001220703125,102.91999816894531,70.96916198730469,36.290000915527344,49.22999954223633
2019-01-18,20.770000457763672,29.299999237060547,26.770000457763672,2.700000047683716,49.189998626708984,104.58999633789062,71.68030548095703,36.84000015258789,50.0099983215332
2019-01-22,19.760000228881836,29.09000015258789,27.010000228881836,2.619999885559082,48.27000045776367,102.94000244140625,69.89301300048828,36.369998931884766,49.86000061035156
2019-01-23,19.799999237060547,28.920000076293945,26.959999084472656,2.609999895095825,47.939998626708984,102.68000030517578,73.65638732910156,36.4900016784668,50.119998931884766
2019-01-24,20.850000381469727,29.079999923706055,27.34000015258789,2.6700000762939453,49.7599983215332,102.73999786376953,72.72498321533203,37.63999938964844,49.97999954223633
2019-01-25,21.93000030517578,29.579999923706055,27.450000762939453,2.740000009536743,47.040000915527344,103.38999938964844,72.88231658935547,38.13999938964844,50.130001068115234
2019-01-28,20.18000030517578,29.6299991607666,27.1299991607666,2.680000066757202,46.709999084472656,103.87999725341797,72.42290496826172,37.439998626708984,49.81999969482422
2019-01-29,19.25,29.389999389648438,27.350000381469727,2.6700000762939453,46.540000915527344,104.16999816894531,74.15985107421875,36.33000183105469,49.849998474121094
2019-01-30,23.09000015258789,29.06999969482422,27.40999984741211,2.680000066757202,47.540000915527344,104.41000366210938,74.96538543701172,37.380001068115234,50.09000015258789
2019-01-31,24.40999984741211,28.469999313354492,27.3799991607666,2.7300000190734863,47.119998931884766,103.5,74.30459594726562,37.619998931884766,48.90999984741211
2019-02-01,24.510000228881836,28.3799991607666,27.459999084472656,2.8299999237060547,48.72999954223633,103.87999725341797,74.87728118896484,37.56999969482422,48.90999984741211
2019-02-04,24.1299991607666,28.8799991607666,27.31999969482422,2.7899999618530273,49.220001220703125,104.25,74.97797393798828,37.939998626708984,49.060001373291016
2019-02-05,23.309999465942383,28.780000686645508,27.450000762939453,2.75,50.0099983215332,103.79000091552734,76.00377655029297,38.25,49.27000045776367
2019-02-06,23.260000228881836,28.729999542236328,27.510000228881836,2.7100000381469727,49.900001525878906,103.73999786376953,76.37507629394531,38.7400016784668,49.220001220703125
2019-02-07,22.670000076293945,28.239999771118164,27.440000534057617,2.7100000381469727,49.22999954223633,102.37999725341797,75.9723129272461,38.119998931884766,48.08000183105469
2019-02-08,23.049999237060547,28.290000915527344,27.450000762939453,2.740000009536743,48.84000015258789,101.36000061035156,77.08621978759766,37.790000915527344,47.650001525878906
2019-02-11,22.959999084472656,28.40999984741211,27.139999389648438,2.690000057220459,48.77000045776367,100.87999725341797,77.23096466064453,38.290000915527344,47.650001525878906
2019-02-12,22.81999969482422,28.690000534057617,27.100000381469727,2.680000066757202,50.0099983215332,102.5999984741211,78.02391052246094,38.63999938964844,49.04999923706055
2019-02-13,22.850000381469727,28.700000762939453,26.989999771118164,2.619999885559082,50.470001220703125,103.08999633789062,78.30081939697266,38.130001068115234,49.02000045776367
2019-02-14,23.1299991607666,28.389999389648438,27.329999923706055,2.640000104904175,50.810001373291016,102.41999816894531,78.11831665039062,38.060001373291016,48.52000045776367
2019-02-15,23.68000030517578,29.110000610351562,27.559999465942383,2.5999999046325684,51.65999984741211,105.55000305175781,80.40277099609375,38.09000015258789,49.220001220703125
2019-02-19,23.950000762939453,29.1299991607666,27.100000381469727,2.5799999237060547,51.400001525878906,105.18000030517578,80.95657348632812,38.459999084472656,49.380001068115234
2019-02-20,23.950000762939453,29.40999984741211,26.799999237060547,2.640000104904175,51.38999938964844,105.69000244140625,80.82441711425781,39.0,49.810001373291016
2019-02-21,23.920000076293945,29.290000915527344,24.65999984741211,2.740000009536743,51.40999984741211,105.47000122070312,79.49653625488281,38.97999954223633,49.560001373291016
